StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,id,discipline,impressiveness,learn,impressed,competence,trust,consensus,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2024-03-07 17:41:08,2024-03-07 17:44:35,0,92.40.47.72,100,207,1,2024-03-07 17:44:36,R_3Js0qNfm9pT66yJ,NA,NA,NA,NA,54.9735,-1.5673,anonymous,EN,1,I pay attention,NA,female,51,2,591c70f8f399850001c51444,6,archeo,imp,5,5,4,4,4,65e9ee170789aa859a5dfa91,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:01Z,2024-03-07T16:44:42Z,NA,2024-03-07T16:44:42Z,221,C232A6J3,1163,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2024-03-07 17:41:08,2024-03-07 17:44:35,0,92.40.47.72,100,207,1,2024-03-07 17:44:36,R_3Js0qNfm9pT66yJ,NA,NA,NA,NA,54.9735,-1.5673,anonymous,EN,1,I pay attention,NA,female,51,2,591c70f8f399850001c51444,6,entom,basic,3,3,3,4,2,65e9ee170789aa859a5dfa91,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:01Z,2024-03-07T16:44:42Z,NA,2024-03-07T16:44:42Z,221,C232A6J3,1163,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2024-03-07 17:40:30,2024-03-07 17:44:56,0,81.154.135.160,100,265,1,2024-03-07 17:44:56,R_3k0oVnc0E8appU4,NA,NA,NA,NA,52.7983,-1.5652,anonymous,EN,1,i pay attention,NA,female,31,5,616c98c5821cbeeffb348e40,7,archeo,imp,3,4,4,4,4,65e9edf86ad3a93ae116c415,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:29Z,2024-03-07T16:44:58Z,NA,2024-03-07T16:45:04Z,270,C232A6J3,647,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:30,2024-03-07 17:44:56,0,81.154.135.160,100,265,1,2024-03-07 17:44:56,R_3k0oVnc0E8appU4,NA,NA,NA,NA,52.7983,-1.5652,anonymous,EN,1,i pay attention,NA,female,31,5,616c98c5821cbeeffb348e40,7,entom,basic,4,4,4,4,3,65e9edf86ad3a93ae116c415,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:29Z,2024-03-07T16:44:58Z,NA,2024-03-07T16:45:04Z,270,C232A6J3,647,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:43:17,2024-03-07 17:45:03,0,2.101.251.96,100,106,1,2024-03-07 17:45:04,R_5XLfG2t2wt8BLW1,NA,NA,NA,NA,53.7601,-1.8021,anonymous,EN,1,I pay attention,NA,male,22,5,5e57fceae74f46000be3e217,8,archeo,basic,4,4,4,4,5,65e9eea2617cf485261b12e2,AWAITING REVIEW,Not Applicable,2024-03-07T16:43:16Z,2024-03-07T16:45:05Z,NA,2024-03-07T16:45:08Z,109,C232A6J3,271,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:43:17,2024-03-07 17:45:03,0,2.101.251.96,100,106,1,2024-03-07 17:45:04,R_5XLfG2t2wt8BLW1,NA,NA,NA,NA,53.7601,-1.8021,anonymous,EN,1,I pay attention,NA,male,22,5,5e57fceae74f46000be3e217,8,entom,imp,4,4,5,4,4,65e9eea2617cf485261b12e2,AWAITING REVIEW,Not Applicable,2024-03-07T16:43:16Z,2024-03-07T16:45:05Z,NA,2024-03-07T16:45:08Z,109,C232A6J3,271,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:41:08,2024-03-07 17:45:20,0,195.213.207.80,100,252,1,2024-03-07 17:45:21,R_4n8gJZ5id5wXWT8,NA,NA,NA,NA,54.9463,-1.3672,anonymous,EN,1,I pay attention,NA,male,33,5,5cd1a622fa7c8b0001a48044,9,archeo,imp,2,3,3,3,5,65e9ee2149427c17a9134f32,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:05Z,2024-03-07T16:45:23Z,NA,2024-03-07T16:45:27Z,259,C232A6J3,541,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:41:08,2024-03-07 17:45:20,0,195.213.207.80,100,252,1,2024-03-07 17:45:21,R_4n8gJZ5id5wXWT8,NA,NA,NA,NA,54.9463,-1.3672,anonymous,EN,1,I pay attention,NA,male,33,5,5cd1a622fa7c8b0001a48044,9,entom,basic,2,3,3,3,5,65e9ee2149427c17a9134f32,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:05Z,2024-03-07T16:45:23Z,NA,2024-03-07T16:45:27Z,259,C232A6J3,541,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:42:28,2024-03-07 17:45:22,0,31.94.22.32,100,174,1,2024-03-07 17:45:22,R_27vPsmVmWMqoatO,NA,NA,NA,NA,55.867,-4.2621,anonymous,EN,1,I pay attention,NA,female,54,5,615eca41d537883c96fc9eec,10,archeo,basic,3,3,4,4,3,65e9ee6e3bb7a0a0ef29d354,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:25Z,2024-03-07T16:45:25Z,NA,2024-03-07T16:45:29Z,180,C232A6J3,1653,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2024-03-07 17:42:28,2024-03-07 17:45:22,0,31.94.22.32,100,174,1,2024-03-07 17:45:22,R_27vPsmVmWMqoatO,NA,NA,NA,NA,55.867,-4.2621,anonymous,EN,1,I pay attention,NA,female,54,5,615eca41d537883c96fc9eec,10,entom,imp,3,3,4,4,3,65e9ee6e3bb7a0a0ef29d354,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:25Z,2024-03-07T16:45:25Z,NA,2024-03-07T16:45:29Z,180,C232A6J3,1653,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
