Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65e9edde7cdc7a1a603fce1e,5d6a924a9e02d2001514311a,AWAITING REVIEW,Not Applicable,2024-03-07T16:39:58.157000Z,2024-03-07T16:42:45.242000Z,,2024-03-07T16:42:45.945230Z,168.0,C232A6J3,2114,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9ede7cb78b4b5f7e108e1,63d13c076dd249ca3a6bffbb,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:09.873000Z,2024-03-07T16:43:59.577000Z,,2024-03-07T16:44:00.352216Z,230.0,C232A6J3,931,41,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9edea9d4ee8777df1ba66,6396044f6ae489bb820c67a5,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:24.990000Z,2024-03-07T16:47:29.043000Z,,2024-03-07T16:47:29.609990Z,425.0,C232A6J3,1117,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9ee2149427c17a9134f32,5cd1a622fa7c8b0001a48044,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:05.050000Z,2024-03-07T16:45:23.060000Z,,2024-03-07T16:45:27.458519Z,259.0,C232A6J3,541,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9ee87dbe87ab9e222c474,61446a1ecda939d3c22d9787,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:52.305000Z,2024-03-07T16:46:11.338000Z,,2024-03-07T16:46:18.018585Z,200.0,C232A6J3,1759,28,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9ee91c16313f84e3a9e1c,58f63e3a5129080001111304,AWAITING REVIEW,Not Applicable,2024-03-07T16:43:06.581000Z,2024-03-07T16:51:55.437000Z,,2024-03-07T16:51:56.990748Z,529.0,C232A6J3,878,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eea2617cf485261b12e2,5e57fceae74f46000be3e217,AWAITING REVIEW,Not Applicable,2024-03-07T16:43:16.597000Z,2024-03-07T16:45:05.430000Z,,2024-03-07T16:45:08.767597Z,109.0,C232A6J3,271,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef1c943af44dc279703,5601ab2ea66d100012d5c38a,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:38.779000Z,2024-03-07T16:47:25.704000Z,,2024-03-07T16:47:26.386544Z,167.0,C232A6J3,2064,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef3dbe87ab9e222c49e,5b200bbd325d600001c041c0,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:52.754000Z,2024-03-07T16:47:54.518000Z,,2024-03-07T16:47:55.181367Z,182.0,C232A6J3,3218,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef4583289ae91124bc6,5c56550e54f9d30001db7f50,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:42.762000Z,2024-03-07T16:49:25.946000Z,,2024-03-07T16:49:26.878907Z,284.0,C232A6J3,1517,37,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65e9eef4445f45842f8241c1,5c8ba607c5366c0001d022cb,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:39.339000Z,2024-03-07T16:48:59.007000Z,,2024-03-07T16:48:59.951925Z,260.0,C232A6J3,2520,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef55b2e6a2df9892d62,5d5a75c570a7c1000152623e,AWAITING REVIEW,Not Applicable,2024-03-07T16:45:01.189000Z,2024-03-07T16:48:23.513000Z,,2024-03-07T16:48:24.110734Z,203.0,C232A6J3,2534,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef5f916caf32336eeba,5a1dcd14f2e3460001edcabf,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:37.495000Z,2024-03-07T16:46:56.840000Z,,2024-03-07T16:46:57.466584Z,140.0,C232A6J3,2673,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef69dadd9a64d6518c5,5e36be214de4516479b48f31,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:38.235000Z,2024-03-07T16:46:16.734000Z,,2024-03-07T16:46:22.874162Z,99.0,C232A6J3,1265,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65e9eef6276498a5b786aacf,5f0dafdb774977037b78d444,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:41.532000Z,2024-03-07T16:47:22.657000Z,,2024-03-07T16:47:23.275005Z,162.0,C232A6J3,1550,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef7fb8959eb854a17a8,5bc08c345e8a950001892156,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:57.685000Z,2024-03-07T16:48:18.539000Z,,2024-03-07T16:48:19.830212Z,201.0,C232A6J3,2624,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65e9eef777c4359acbe107b1,5e7fa0e918b10804bb87eb63,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:49.796000Z,2024-03-07T16:49:09.038000Z,,2024-03-07T16:49:09.797420Z,260.0,C232A6J3,2260,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef81455613e92e82810,5c321ebf6558270001bd79aa,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:40.201000Z,2024-03-07T16:48:52.275000Z,,2024-03-07T16:48:52.962437Z,253.0,C232A6J3,2111,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef8c16313f84e3a9e48,572f526c3c27e7000e0b8aaa,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:49.453000Z,2024-03-07T16:52:29.360000Z,,2024-03-07T16:52:30.683475Z,460.0,C232A6J3,4406,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef9f2988db0f6632487,5daed30cfce7b000156c8bd3,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:45.643000Z,2024-03-07T16:47:00.730000Z,,2024-03-07T16:47:03.445068Z,136.0,C232A6J3,27,42,Male,Asian,Tanzania,United Kingdom,United Kingdom,English,No,Full-Time
65e9eef9dce7dd83a3fa12fc,5e8c81b7d1ee09010f479a4b,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:49.471000Z,2024-03-07T16:47:54.889000Z,,2024-03-07T16:47:55.513316Z,186.0,C232A6J3,189,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65e9eefa0037660f1b40108b,5cfde288bab656000198b943,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47.974000Z,2024-03-07T16:49:04.993000Z,,2024-03-07T16:49:05.649224Z,258.0,C232A6J3,1360,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65e9eefa30d867a9969ab8a3,63b72f35b337507ff1b69f00,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:45.862000Z,2024-03-07T16:47:37.874000Z,,2024-03-07T16:47:38.674433Z,173.0,C232A6J3,760,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65e9eefb103cf2072d987d08,62b44f66a16d45783569fad6,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:43.178000Z,2024-03-07T16:49:37.408000Z,,2024-03-07T16:49:38.146552Z,295.0,C232A6J3,1518,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eefb8860955fa7ccc53f,654cec9d03f822b4b2b4133a,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:46.064000Z,2024-03-07T16:48:12.574000Z,,2024-03-07T16:48:13.361676Z,207.0,C232A6J3,247,30,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65e9eefca5fc46a077458a6d,62a7970f8387f3fcc95b106b,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:52.246000Z,2024-03-07T16:47:56.598000Z,,2024-03-07T16:47:57.263969Z,185.0,C232A6J3,1300,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eefc6425c6a9550c3151,5dc5da21d999de45a504651b,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:48.009000Z,2024-03-07T16:47:58.823000Z,,2024-03-07T16:47:59.394830Z,191.0,C232A6J3,2500,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65e9eefdf5e5181ae2ebe314,62fb93ed161d9d75987ec48e,AWAITING REVIEW,Not Applicable,2024-03-07T16:45:00.372000Z,2024-03-07T16:48:14.045000Z,,2024-03-07T16:48:14.948533Z,194.0,C232A6J3,557,25,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e9eefd7e33b08e64ee46e1,5fd7772607bd47085d6397ff,AWAITING REVIEW,Not Applicable,2024-03-07T16:45:06.115000Z,2024-03-07T16:49:12.730000Z,,2024-03-07T16:49:13.462657Z,247.0,C232A6J3,1702,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65e9eefe583289ae91124bca,5b4e147ad4c93b00019c9e01,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:46.490000Z,2024-03-07T16:50:15.637000Z,,2024-03-07T16:50:16.451886Z,330.0,C232A6J3,3097,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eefe97a47b78a32bcfce,639f294882a3797f77a3dd81,AWAITING REVIEW,Not Applicable,2024-03-07T16:45:36.507000Z,2024-03-07T16:48:34.474000Z,,2024-03-07T16:48:35.069735Z,178.0,C232A6J3,876,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e9eeffa5fc46a077458a6f,6413603a62c72120012e05be,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47.023000Z,2024-03-07T16:48:12.067000Z,,2024-03-07T16:48:12.660407Z,206.0,C232A6J3,819,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65e9eeffa84b89b747ccc3d3,63d79fcd741f9cfb2f87152f,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:53.335000Z,2024-03-07T16:47:31.709000Z,,2024-03-07T16:47:33.562307Z,159.0,C232A6J3,1444,48,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Other
65e9ef00dc589e75bb16c55e,63cfee94707bca4ddee3eb05,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:50.569000Z,2024-03-07T16:47:45.382000Z,,2024-03-07T16:47:46.058038Z,175.0,C232A6J3,1148,43,Male,Asian,Hong Kong,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e9ef00e1c9204d5286ac45,5dbe90f8965e863667a79ca8,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:53.165000Z,2024-03-07T16:48:58.911000Z,,2024-03-07T16:49:00.089812Z,246.0,C232A6J3,1608,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65e9ef00845d515845fdc1ae,5fd8ea198512a801831f6b85,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:55.103000Z,2024-03-07T16:49:00.807000Z,,2024-03-07T16:49:01.924589Z,246.0,C232A6J3,977,38,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
