Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666336f7aa1f0d758100661c,56e87c23eefcff000596f0c1,AWAITING REVIEW,Not Applicable,2024-06-07T16:36:13.807000Z,2024-06-07T16:40:31.096000Z,,2024-06-07T16:42:07.650560Z,258.0,CR9UHRS6,2953,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66633782fc4b2b42294a8959,6658b314777a6d0ee2bbea2f,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:42.930000Z,2024-06-07T16:51:03.138000Z,,2024-06-07T16:55:00.976227Z,681.0,CR9UHRS6,31,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6663378ae66d356f406d5f7f,654651ac7e37774d5853f448,AWAITING REVIEW,Not Applicable,2024-06-07T16:38:50.490000Z,2024-06-07T16:55:12.700000Z,,2024-06-07T16:56:26.064006Z,983.0,NOCODE,502,35,Male,Black,United States,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6663378b2a9b76cf09442961,6093bbe2d2c5537241164571,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:04.305000Z,2024-06-07T16:42:14.329000Z,,2024-06-07T16:42:41.111593Z,191.0,CR9UHRS6,684,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
666337a50a3ebc52b0721edb,5ea5ab953728485a2d53e033,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:04.701000Z,2024-06-07T16:42:57.286000Z,,2024-06-07T16:42:58.145720Z,233.0,CR9UHRS6,715,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
666337a64c8cb98540e6dafa,55ac3198fdf99b6de3b68b23,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:24.720000Z,2024-06-07T16:47:22.023000Z,,2024-06-07T16:47:22.523195Z,478.0,CR9UHRS6,3809,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
666337a93066dd36d7ac4073,5e56ac24ce30ae0632e2fe0a,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:39.426000Z,2024-06-07T16:45:53.534000Z,,2024-06-07T16:45:54.793675Z,375.0,CR9UHRS6,46,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
666337acc5b6f8765b5e6432,5b5e0e86902ad10001cfcc59,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:22.087000Z,2024-06-07T16:46:43.726000Z,,2024-06-07T16:46:44.523963Z,442.0,CR9UHRS6,2589,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
666337ae727f1ac4cc570161,5780d9a1900cc80001d2d1c2,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:21.159000Z,2024-06-07T16:47:25.499000Z,,2024-06-07T16:47:26.224475Z,485.0,CR9UHRS6,3467,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666337af6f25db71eaa3c05b,5dbf261c3b89f23ccd3007af,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:15.309000Z,2024-06-07T16:43:56.408000Z,,2024-06-07T16:43:56.865839Z,282.0,CR9UHRS6,519,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
